Dataset,Model,Accuracy,Precision_macro,Recall_macro,F1_macro,Precision_failure_1,Recall_failure_1,F1_failure_1,ROC_AUC,CV_F1_macro,Best_Params
storage,GradientBoosting,0.9947643979057592,0.9235191870570931,0.6714220349740146,0.7433652058494893,0.8518518518518519,0.34328358208955223,0.48936170212765956,0.8180452533508702,0.7550215831829594,"{'model__learning_rate': 0.1, 'model__n_estimators': 100}"
storage,Bagging,0.9940008726003491,0.8266472588920275,0.6858529569491297,0.7365868183705933,0.6578947368421053,0.373134328358209,0.47619047619047616,0.8061161066440132,0.7498370301674546,{'model__n_estimators': 50}
storage,RandomForest,0.9941099476439791,0.8405030423425255,0.6785001484173463,0.7338133674002671,0.6857142857142857,0.3582089552238806,0.47058823529411764,0.8354010630289932,0.7318056484010328,"{'model__max_depth': 20, 'model__n_estimators': 200}"
storage,KNN,0.993782722513089,0.8366598937167865,0.6412965936169062,0.6984375856586811,0.6785714285714286,0.2835820895522388,0.4,0.690582632382533,0.7128599333792202,{'model__n_neighbors': 3}
storage,DecisionTree,0.9906195462478184,0.6721320049161894,0.661926604752307,0.6668689105028773,0.3492063492063492,0.3283582089552239,0.3384615384615385,0.6621562006471324,0.6867399125221785,"{'model__max_depth': None, 'model__min_samples_split': 5}"
storage,LogisticRegression,0.9676047120418848,0.5690692811934901,0.8207126656575381,0.6080056283500928,0.140625,0.6716417910447762,0.23255813953488372,0.8677109453282974,0.599351478258963,{'model__C': 1.0}
storage,SVM,0.9677137870855148,0.5632010450674373,0.7837288669278593,0.5981424442022462,0.12944983818770225,0.5970149253731343,0.2127659574468085,0.8574275091961355,0.6034558698598632,"{'model__C': 0.5, 'model__kernel': 'rbf'}"
